Priority,Type,Topic,SubTopic,Index,Question,Answer,Number,Personal
3,Discrete Facts,TV,-,25,the show that won Best Comedy Emmy in 2005,Everybody Loves Raymond (CBS),Singular,No
3,Discrete Facts,TV,-,26,the show that won Best Comedy Emmy in 2004,Arrested Development,Singular,No
3,Discrete Facts,TV,-,27,the show that won Best Comedy Emmy in 2003,Everybody Loves Raymond (CBS),Singular,No
3,Discrete Facts,TV,-,28,the show that won Best Comedy Emmy in 2002,Friends,Singular,No
3,Discrete Facts,TV,-,29,the show that won Best Comedy Emmy in 2001,Sex and the City,Singular,No
3,Discrete Facts,TV,-,30,the show that won Best Comedy Emmy in 2000,Will & Grace,Singular,No
3,Discrete Facts,TV,-,31,the show that won Best Comedy Emmy in 1999,Ally McBeal,Singular,No
3,Discrete Facts,TV,-,32,the show that won Best Comedy Emmy from 1994 through 1998,Frasier,Singular,No
3,Discrete Facts,TV,-,33,the show that won Best Comedy Emmy in 1993,Seinfeld,Singular,No
3,Discrete Facts,TV,-,34,the show that won Best Comedy Emmy in 1992,Murphy Brown (CBS),Singular,No
3,Discrete Facts,TV,-,35,the show that won Best Comedy Emmy in 1991,Cheers (NBC),Singular,No
3,Discrete Facts,TV,-,36,the show that won Best Comedy Emmy in 1990,Murphy Brown (CBS),Singular,No
3,Discrete Facts,TV,-,37,the show that won Best Comedy Emmy in 1989,Cheers (NBC),Singular,No
3,Discrete Facts,TV,-,38,the show that won Best Comedy Emmy in 1988,The Wonder Years (ABC),Singular,No
3,Discrete Facts,TV,-,39,the show that won Best Comedy Emmy in 1986 and 1987,The Golden Girls (NBC),Singular,No
3,Discrete Facts,TV,-,40,the show that won Best Comedy Emmy in 1985,The Cosby Show (NBC),Singular,No
3,Discrete Facts,TV,-,41,the show that won Best Comedy Emmy in 1983 and 1984,Cheers (NBC),Singular,No
3,Discrete Facts,Sports,-,42,the acronym for women's soccer in the US,NWSL,Singular,No
3,Discrete Facts,Sports,-,43,the NWSL team in Seattle,Seattle Reign,Singular,No
3,Discrete Facts,Sports,-,44,the NWSL team in Portland,Portland Thorns,Singular,No
3,Discrete Facts,Sports,-,45,the NWSL team in the Bay Area,Bay FC,Singular,No
3,Discrete Facts,Sports,-,46,the LA NWSL team,Angel City FC,Singular,No
3,Discrete Facts,Sports,-,47,the NWSL team in San Diego,San Diego Wave,Singular,No
3,Discrete Facts,Sports,-,48,the NWSL team in Utah,Utah Royals,Singular,No
3,Discrete Facts,Sports,-,49,the NWSL team in Missouri,the Kansas City Current,Singular,No
3,Discrete Facts,Sports,-,50,the NWSL team in Chicago,Chicago Stars,Singular,No
3,Discrete Facts,Sports,-,51,the NWSL team in Texas,the Houston Dash,Singular,No
3,Discrete Facts,Sports,-,52,the NWSL team in KY,Racing Louisville FC,Singular,No
3,Discrete Facts,Sports,-,53,the NWSL team in Florida,Orlando Pride,Singular,No
3,Discrete Facts,Sports,-,54,the NWSL team based in a city called Cary,North Carolina Courage,Singular,No
3,Discrete Facts,Sports,-,55,the NWSL team in the capital,Washington Spirit,Singular,No
3,Discrete Facts,Sports,-,56,the NWSL team in NY area,Gotham,Singular,No
3,Discrete Facts,Sports,-,57,the NWSL Gotham team's old name,(Jersey) Sky Blue,Singular,No
3,Discrete Facts,Sports,-,58,the defunct NWSL Boston team,Boston Breakers,Singular,No
3,Discrete Facts,Sports,-,59,the defunct NWSL NY team,Western New York Flash,Singular,No
3,Discrete Facts,Sports,-,60,the future NWSL Boston team,Boston Legacy,Singular,No
3,Discrete Facts,Sports,-,61,the 2 future cities for the NWSL,Boston; Denver,Singular,No
3,Discrete Facts,Sports,-,62,the NWSL with the most league titles,"Portland Thorns, with 3",Singular,No
3,Discrete Facts,Sports,-,63,the NWSL team with the most finals losses without a win,"Seattle Reign, 0-3",Singular,No
3,Discrete Facts,Sports,-,64,the number of teams in Major League Soccer currently,30,Singular,No
3,Discrete Facts,Sports,-,65,the MLS award to the team with the best regular season record,Supporters' Shield,Singular,No
3,Discrete Facts,Sports,-,66,the team with the most MLS Cup wins,LA Galaxy (with 6),Singular,No
3,Discrete Facts,Sports,-,67,the MLS player with the most appearances,Nick Rimando (514 appearances),Singular,No
3,Discrete Facts,Sports,-,68,the MLS player who is the top goalscorer,Chis Wondolowski (171),Singular,No
3,Discrete Facts,Sports,-,69,the three Canadian teams in the MLS,Vancouver Whitecaps; Montreal Club de Foot; Toronto FC,Singular,No
3,Discrete Facts,Sports,-,70,the only State/Province to have an MLS franchise but not border any other MLS-having State/Province,Texas,Singular,No
3,Discrete Facts,Sports,-,71,the Seattle MLS team,Sounders,Singular,No
3,Discrete Facts,Sports,-,72,the Portland MLS team,Timbers,Singular,No
3,Discrete Facts,Sports,-,73,the San Jose MLS team and their former name,"The Earthquakes, formerly the Clash",Singular,No
3,Discrete Facts,Sports,-,74,the LA MLS team that isn't just LAFC,The Galaxy,Singular,No
3,Discrete Facts,Sports,-,75,the Utah MLS team,Real (Royal) Salt Lake,Singular,No
3,Discrete Facts,Sports,-,76,the Real Salt Lake MLS home stadium,America First Field,Singular,No
3,Discrete Facts,Sports,-,77,the Colorado MLS team,The Rapids,Singular,No
3,Discrete Facts,Sports,-,78,"the MLS Team names for Kansas City, KS","Sporting Kansas City, form. The Wiz / Wizards",Singular,No
3,Discrete Facts,Sports,-,79,"the Dallas MLS name, prior to FC Dallas",The Dallas Burn,Singular,No
3,Discrete Facts,Sports,-,80,the Houston MLS Team,Houston Dynamo,Singular,No
3,Discrete Facts,Sports,-,81,the Chicago MLS team,Chicago Fire,Singular,No
3,Discrete Facts,Sports,-,82,the former name of the Montreal MLS team (prior to Club de Foot Montreal),Montreal Impact,Singular,No
3,Discrete Facts,Sports,-,83,the common nickname of the Miami MLS team,Inter Miami,Singular,No
3,Discrete Facts,Sports,-,84,the big 2023 news in Inter Miami FC,Co-owner David Beckham signed Lionel Messi,Singular,No
3,Discrete Facts,Sports,-,85,the MLS team for Columbus,The Columbus Crew,Singular,No
3,Discrete Facts,Sports,-,86,the Philly MLS team,The Philadelphia Union,Singular,No
3,Discrete Facts,Sports,-,87,the MLS team partly co-owned by Kevin Durant,Philadelphia Union,Singular,No
3,Discrete Facts,Sports,-,88,the animal on the logo of the Philadelphia Union MLS team,A snake,Singular,No
3,Discrete Facts,Sports,-,89,the New York MLS team besides NYCFC,New York Red Bulls,Singular,No
3,Discrete Facts,Sports,-,90,the New York Red Bulls' former name,the MetroStars,Singular,No
3,Discrete Facts,Sports,-,91,the MLS team in New England,the New England Revolution,Singular,No
3,Discrete Facts,Sports,-,92,the owner of the MLS' New England Revolution,Robert Kraft,Singular,No
3,Discrete Facts,Sports,-,93,the San Jose Earthquakes/LA Galaxy rivalry,California Clasico,Singular,No
3,Discrete Facts,Sports,-,94,the newest MLS expansion team,San Diego FC,Singular,No
3,Discrete Facts,Sports,-,95,the former MLS team based in Tampa Bay,the Mutiny,Singular,No
3,Discrete Facts,Sports,-,96,"the former MLS team based in Carson, CA",Chivas USA,Singular,No
3,Discrete Facts,Sports,-,97,the most populous US state without an MLS team,Michigan,Singular,No
3,Discrete Facts,Sports,-,98,the first MLS expansion team that's still active,Chicago Fire,Singular,No
3,Discrete Facts,Sports,-,99,the MLS GOAT active 2001-16 with the Earthquakes and Galaxy,Landon Donovan,Singular,No
3,Discrete Facts,Sports,-,100,the composer who did the current (as of 2020) league theme for the MLS?,Hans Zimmer,Singular,No
3,Discrete Facts,Sports,-,101,the MLS team with the second-most MLS Cup wins,"DC United, with 4",Singular,No
3,Discrete Facts,Sports,-,102,"the MLS team with the third-most MLS Cup wins, with 3",The Columbus Crew,Singular,No
3,Discrete Facts,Sports,-,103,the MLS team that won the MLS Cup in their inaugural season,Chicago Fire (1997-8),Singular,No
3,Discrete Facts,Sports,-,104,the MLS team that has the most MLS Cup Finals appearances but no wins,New England Revolution (with 5),Singular,No
3,Discrete Facts,Sports,-,105,the animal on Orlando City FC's logo,lion,Singular,No
3,Discrete Facts,Sports,-,106,the animal on the logo of FC Cincinnati,the winged lion of St Mark,Singular,No
3,Discrete Facts,Sports,-,107,the birds on the logo of Inter Miami FC,white herons,Singular,No
3,Discrete Facts,The 50 States,-,108,the 2 Provinces bordered by Maine,Quebec and New Brunswick,Plural,No
3,Discrete Facts,The 50 States,-,109,The 2 states divided partially by the Piscataqua River,Maine; New Hampshire,Plural,No
3,Summary Lists,The 50 States,-,110,the three most populous cities in Maine,"Portland, Lewiston, Bangor",Plural,No
3,Discrete Facts,The 50 States,-,111,the 2 Senators from NH,"Jeanne Shaheen and Maggie Hassan (D,D)",Plural,No
3,Summary Lists,The 50 States,-,112,the three most populous cities in NH,"Manchester, Nashua, Concord",Plural,No
3,Discrete Facts,The 50 States,-,113,the two Olympic medalists in figure skaters who were born in Stoneham MA and share a first name,Nancy Ludington (Bronze 1960) and Nancy Kerrigan (Silver 1994),Plural,No
3,Vocab Refreshers,The 50 States,-,114,the two of the Seven Sisters in a town with the same name as the school,Wellesley and Bryn Mawr,Plural,No
3,Summary Lists,The 50 States,-,115,the three Indian tribes in CT,"Mohegan, Pequot, and Podunk",Plural,No
3,Summary Lists,The 50 States,-,116,the 3 Congregationalist Ivy Leagues,"Dartmouth, Harvard, and Yale",Plural,No
3,Discrete Facts,The 50 States,-,117,the 2 current Governors named Greg,Abbott & Gianforte,Plural,No
3,Discrete Facts,The 50 States,-,118,the 3 current Governors named Josh,Green; Shapiro; Stein,Plural,No
3,Discrete Facts,The 50 States,-,119,the 2 current Governors who are a Kathleen H.,Hochul; Hobbes,Plural,No
3,Discrete Facts,The 50 States,-,120,the 2 current Governors who are Kelly A.,Armstrong; Ayotte,Plural,No
3,Discrete Facts,The 50 States,-,121,the 2 current Governors who go by Phil,Murphy; Scott,Plural,No
3,Discrete Facts,The 50 States,-,122,the name by which 4 current Governors go,Mike (DeWine's real name is Richard),Plural,No
3,Discrete Facts,The 50 States,-,123,"the two families name-dropped in Bossidy's doggerel ""Boston Toast""","Lowells, Cabots",Plural,No
3,Discrete Facts,The 50 States,-,124,the 2 Presidents born in Vermont,Arthur; Coolidge,Plural,No
3,Discrete Facts,The 50 States,-,125,the 2 Presidents laid to rest in MA,the Adamses,Plural,No
3,Discrete Facts,The 50 States,-,126,the 2 Presidents who are laid to rest in different (neighboring) states,WHH (OH) and BH (IN),Plural,No
3,Discrete Facts,The 50 States,-,127,the 2 states Daniel Webster repped in the House,NH; MA,Plural,No
3,Discrete Facts,The 50 States,-,128,the 3 Presidents for whom Daniel Webster served as Sec-State (as 14th and 19th),WHH; Tyler; and … Fillmore,Plural,No
3,Discrete Facts,The 50 States,-,129,the 2 famous authors born in Exeter NH,John Irving (born Blunt); Dan Brown,Plural,No
3,Discrete Facts,The 50 States,-,130,the 2 termini of US route 1,Key West FL; Fort Kent ME,Plural,No
3,Discrete Facts,The 50 States,-,131,the 2 states where Patriots' Day is a holiday,MA and ME,Plural,No
3,Summary Lists,The 50 States,-,132,the noteworthy US Senators from Maine,"VP Hannibal Hamlin; Sec-State and POTUS Candidate James G. Blaine; ""first woman"" Margaret Chase Smith; cryin' Edmun Muski; ""concerned"" Susan Collins",Plural,No
3,Discrete Facts,The 50 States,-,133,the 2 state capitals with the name of a whole month in them,Juneau; Augusta,Plural,No
3,Discrete Facts,The 50 States,-,134,the 2 Amtrak lines named for a bird,Cardinal; Texas Eagle,Plural,No
3,Discrete Facts,The 50 States,-,135,the 2 Amtrak lines named for people,Ethan Allen; Hiawatha,Plural,No
3,Discrete Facts,The 50 States,-,136,the 2 states of Amtrak's Heartland Flyer line,OK; TX,Plural,No
3,Deep Cuts,The 50 States,-,137,the northernmost point in Maine,Estcourt,Singular,No
3,Vocab Refreshers,The 50 States,-,138,the Canadian body of water Maine borders on its East,The Bay of Fundy,Singular,No
3,Deep Cuts,The 50 States,-,139,Maine's easternmost point (and the continental US'),West Quoddy Head (Lighthouse) in Quoddy Head State Park,Singular,No
3,Vocab Refreshers,The 50 States,-,140,Maine's biggest island,Mount Desert Island,Singular,No
3,Vocab Refreshers,The 50 States,-,141,"Maine's port city that's a ""gateway to Acadia""",Bar Harbor,Singular,No
3,Deep Cuts,The 50 States,-,142,the river that divides Maine from New Hampshire where the border isn't straight,Piscataqua,Singular,No
3,Vocab Refreshers,The 50 States,-,143,the second biggest city in Maine (by population),Lewiston,Singular,No
3,Vocab Refreshers,The 50 States,-,144,the Maine County that Augusta is in (and the river that flows through it),Kennebec,Singular,No
3,Deep Cuts,The 50 States,-,145,"the County of Portland, ME",Cumberland,Singular,No
3,Discrete Facts,The 50 States,-,146,the state animal of Maine,Moose (Alces alces),Singular,No
3,Vocab Refreshers,The 50 States,-,147,the state beverage of Maine,Moxie,Singular,No
3,Discrete Facts,The 50 States,-,148,the Pine Tree State,Maine,Singular,No
3,Deep Cuts,The 50 States,-,149,the University of Maine's sports nickname,Black Bears,Singular,No
3,Deep Cuts,The 50 States,-,150,the hometown of the U of Maine,"Orono, ME",Singular,No
3,Discrete Facts,The 50 States,-,151,the only Land Grant University on an island outside of Hawaii,U of Maine (Marsh Island),Singular,No
3,Discrete Facts,The 50 States,-,152,the state treat (not dessert) of Maine,Whoopie Pie,Singular,No
3,Vocab Refreshers,The 50 States,-,153,the oldest college in Maine,Bowdoin (est. 1794),Singular,No
3,Deep Cuts,The 50 States,-,154,the hometown of Bowdoin College,"Brunswick, ME",Singular,No
3,Vocab Refreshers,The 50 States,-,155,the highest point in Maine,Mount Katahdin,Singular,No
3,Deep Cuts,The 50 States,-,156,the State Park in Maine where Mount Katahdin is,Baxter State Park,Singular,No
3,Vocab Refreshers,The 50 States,-,157,the longest river entirely in Maine,Penobscot,Singular,No
3,Discrete Facts,The 50 States,-,158,the state that witnessed King William's War and Father Rale's War,Maine,Singular,No
3,Pavlovs,The 50 States,-,159,the Penobscot state,Maine,Singular,No
3,Pavlovs,The 50 States,-,160,the Maine tribe of Indians,Penobscot,Singular,No
3,Discrete Facts,The 50 States,-,161,"the ""state sailing vessel"" of Maine",the Bowdoin--the only American schooner (1921) purpose-built for Arctic Exploration,Singular,No
3,Discrete Facts,The 50 States,-,162,the first National Park east of the Mississippi River,"Acadia, est. 1916",Singular,No
3,Discrete Facts,The 50 States,-,163,"the National Park previously named ""Sieur de Monts"" and then ""Lafayette"" NP","Acadia, given its name in 1929",Singular,No
3,Vocab Refreshers,The 50 States,-,164,the highest mountain ON the US' Atlantic Coast,"Cadillac Mt., in Acadia NP, on Mount Desert Island",Singular,No
3,Discrete Facts,The 50 States,-,165,the Frenchman whom Frenchmaan Bay (Mount Desert Island) is named after,Samuel de Champlain,Singular,No
3,Discrete Facts,The 50 States,-,166,the onetime American location of the fastest wind speed recorded on Earth,"Mount Washington, 231 mph (a record since broken by Barrow Island, AUS)",Singular,No
3,Vocab Refreshers,The 50 States,-,167,the range of Appalachians in NH,the White Mountains,Singular,No
3,Vocab Refreshers,The 50 States,-,168,the highest point in New England,Mount Washington,Singular,No
3,Vocab Refreshers,The 50 States,-,169,the sub-range of White Mountains where Mount Washington is,the Presidential Range,Singular,No
3,Discrete Facts,The 50 States,-,170,the second-tallest mountain in NH's Presidential Range,Mt. Adams,Singular,No
3,Vocab Refreshers,The 50 States,-,171,the current Governor of Maine,Janet Mills (D),Singular,No
3,Vocab Refreshers,The 50 States,-,172,the current Governor of NH,Kelly Ayotte (R),Singular,No
3,Discrete Facts,The 50 States,-,173,the US State with 4/4 Dem Congresspeople and a GOP Governor,NH,Singular,No
3,Discrete Facts,The 50 States,-,174,"the County of Concord, NH",Merrimack,Singular,No
3,Discrete Facts,The 50 States,-,175,the Nashua-born singer-songwriter,"Amanda Leigh ""Mandy"" Moore (of Candy and Tangled)",Singular,Yes
3,Discrete Facts,The 50 States,-,176,the long NH river that partly determines their MA border,"the Merrimack (yes, the namesake of the eventual CSS Virginia)",Singular,No
3,Vocab Refreshers,The 50 States,-,177,"the writer born and died in Concord NH, 1817-62",Henry David Thoreau,Singular,Yes
3,Vocab Refreshers,The 50 States,-,178,the Alma Mater of Nathaniel Hawthorne & Franklin Pierce,Bowdoin (est. 1794),Singular,No
3,Discrete Facts,The 50 States,-,179,the Alma Mater of RW Emerson and HD Thoreau,Harvard,Singular,No
3,Vocab Refreshers,The 50 States,-,180,the place in NH where they count votes early,Dixville Notch,Singular,No
3,Pavlovs,The 50 States,-,181,the president born in NH,Franklin Pierce,Singular,Yes
3,Discrete Facts,The 50 States,-,182,the president who married Jane Appleton,Franklin Pierce,Singular,Yes
3,Discrete Facts,The 50 States,-,183,the President who signed the Gadsden Purchase,Franklin Pierce,Singular,Yes
3,Discrete Facts,The 50 States,-,184,the effect of the Treaty of Mesilla,The Gadsden Purchase,Singular,No
3,Discrete Facts,The 50 States,-,185,the President who signed the Kansas-Nebrasaka Act of 1854,Franklin Pierce,Singular,Yes
3,Discrete Facts,The 50 States,-,186,the candidate defeated by Franklin Pierce,"Winfield ""Fuss n Feathers"" Scott",Singular,Yes
3,Vocab Refreshers,The 50 States,-,187,Pierce's VP,William Rufus DeVane King,Singular,Yes
3,Discrete Facts,The 50 States,-,188,"the President with a VP named ""King""",Franklin Pierce,Singular,Yes
3,Discrete Facts,The 50 States,-,189,the Ostend Manifesto/Circular,the 1854 document from the Pierce Admin that wanted to buy Cuba from Spain and go to war if refused,Singular,No
3,Vocab Refreshers,The 50 States,-,190,the African & Wampanoag-descended First Casualty of the American Revolution,Crispus Attucks,Singular,Yes
3,Vocab Refreshers,The 50 States,-,191,the New England bowling variant,Candlepin bowling,Singular,No
3,Discrete Facts,The 50 States,-,192,the company founded in NH by Dean Kamen in 1999,Segway (the founder is not the one who died),Singular,No
3,Discrete Facts,The 50 States,-,193,"the President who briefly made Lake Champlain a ""Great Lake"" legally",Clinton (1998),Singular,Yes
3,Vocab Refreshers,The 50 States,-,194,"the famous resident of Bangor, ME who used to own radio stations",Stephen King,Singular,Yes
3,Discrete Facts,The 50 States,-,195,"the native of Lowell, MA who filmed Now, Voyager on location in Boston",Bette Davis,Singular,Yes
3,Discrete Facts,The 50 States,-,196,"""Hi, Neighboor"" beer slogan",Narragansett Brewing,Singular,No
3,Vocab Refreshers,The 50 States,-,197,New England's largest estuary,Narragansett Bay,Singular,No
3,Discrete Facts,The 50 States,-,198,"the famous native of Winsted, CT",Ralph Nader,Singular,Yes
3,Discrete Facts,The 50 States,-,199,Ralph Nader's mom's name,Rose,Singular,No
3,Vocab Refreshers,The 50 States,-,200,the eponymous restaurant in a 1988 film with Julia Roberts,Mystic Pizza,Singular,No
3,Discrete Facts,The 50 States,-,201,the state where Mystic Pizza is set,CT (the town of Mystic),Singular,No
3,Discrete Facts,The 50 States,-,202,the film that Matt Damon debuted in,Mystic Pizza,Singular,No
3,Vocab Refreshers,The 50 States,-,203,the Revolutionary War battle fought in NY but named for a VT site,Battle of Bennington (1777),Singular,No
3,Discrete Facts,The 50 States,-,204,the state motto credited to Revolution vet General John Stark,Live Free or Die!,Singular,No
3,Discrete Facts,The 50 States,-,205,"the symbol created by Harvey Ball of Worcester, MA for an insurance company",yellow smiley face,Singular,No
3,Discrete Facts,The 50 States,-,206,the MA town that claims the Yellow Smiley Face,Worcester,Singular,No
3,Discrete Facts,The 50 States,-,207,the CT seaport that's now home to the USS Nautilus,Groton CT,Singular,No
3,Vocab Refreshers,The 50 States,-,208,the Rodgers and Hammerstein musical based on Ferenc Molnar's Liliom,Carousel,Singular,No
3,Discrete Facts,The 50 States,-,209,the protagonist of Carousel,Julie,Singular,Yes
3,Discrete Facts,The 50 States,-,210,the Rodgers and Hammerstein musical set in Maine,Carousel,Singular,No
3,Discrete Facts,The 50 States,-,211,the city where the source material for the musical Carousel set it,Budapest,Singular,No
3,Discrete Facts,The 50 States,-,212,the VT company est. 1790 that did well during covid,King Arthur Flour,Singular,No
3,Vocab Refreshers,The 50 States,-,213,the music college in Boston with 140 Grammy-winning alums (including Quincy Jones) and a homophonic school,Berklee,Singular,No
3,Vocab Refreshers,The 50 States,-,214,the CT hometown of ESPN,Bristol,Singular,No
3,Vocab Refreshers,The 50 States,-,215,the event founded in 1995 by ESPN and initially held in Rhode Island,the X Games,Singular,No
3,Pavlovs,The 50 States,-,216,the superhero parody first published in 1984 in Dover NH,TMNT,Singular,No
3,Discrete Facts,The 50 States,-,217,the oldest of the Seven Sisters college,Mount Holyoke (1837),Singular,No
3,Vocab Refreshers,The 50 States,-,218,Mount Holyoke's hometown,South Hadley MA,Singular,No
3,Vocab Refreshers,The 50 States,-,219,Vassar's hometown,"Poughkeepsie, NY",Singular,No
3,Vocab Refreshers,The 50 States,-,220,Smith College's hometown,Northampton MAA,Singular,No
3,Vocab Refreshers,The 50 States,-,221,Radcliffe College's hometown,Cambridge,Singular,No
3,Vocab Refreshers,The 50 States,-,222,Joyce Chen's signature dish in Cambridge MA,Peking Ravioli,Singular,No
3,Discrete Facts,The 50 States,-,223,home of the USA's oldest Synagogue,"Newport, RI (Touro Synagogue)",Singular,No
3,Vocab Refreshers,The 50 States,-,224,the only WNBA team in New England,CT Sun,Singular,No
3,Vocab Refreshers,The 50 States,-,225,"the language of ""Keesusk"" on the CT Sun's jersey",Mohegan,Singular,No
3,Vocab Refreshers,The 50 States,-,226,the CT town where the Mohegan reservation is,Uncasville (really),Singular,No
3,Discrete Facts,The 50 States,-,227,the city that Robert Frost was born in,San Francisco (really),Singular,No
3,Discrete Facts,The 50 States,-,228,the Robert Frost poem that shares its name with a state,New Hampshire,Singular,No
3,Discrete Facts,The 50 States,-,229,Robert Frost's first poetry collection,A Boy's Will,Singular,No
3,Discrete Facts,The 50 States,-,230,the Ivy League school founded by Eleazer Wheelock,"Dartmouth, est. 1769",Singular,No
3,Discrete Facts,The 50 States,-,231,Dartmouth's sports nickname,Big Green,Singular,No
3,Discrete Facts,The 50 States,-,232,Dartmouth's Medical school namesake,"Geisel (yes, Ted)",Singular,No
3,Discrete Facts,The 50 States,-,233,Dartmouth's Engineering School namesake,Thayer,Singular,No
3,Discrete Facts,The 50 States,-,234,Dartmouth's Busines School namesake,(Amos) Tuck (a founder of the Republican Party),Singular,No
3,Discrete Facts,The 50 States,-,235,the only Christian denomination/branch responsible for more than 1 Ivy League school,Congregationalism,Singular,No
3,Discrete Facts,The 50 States,-,236,the only non-Congregationalist Ivy League in New England,Brown (Baptist),Singular,No
3,Discrete Facts,The 50 States,-,237,Brown U's original sect,Baptist,Singular,No
3,Discrete Facts,The 50 States,-,238,Columbia U's original sect,Church of England/Anglican,Singular,No
3,Discrete Facts,The 50 States,-,239,Princeton's original sect,Presbyterian,Singular,No
3,Discrete Facts,The 50 States,-,240,Penn's original sect,Quaker,Singular,No
3,Discrete Facts,The 50 States,-,241,the only originally non-sectarian Ivy League,Cornell,Singular,No
3,Discrete Facts,The 50 States,-,242,the Baptist Ivy League,Brown,Singular,No
3,Discrete Facts,The 50 States,-,243,the Anglican/COE Ivy League school,Columbia,Singular,No
3,Discrete Facts,The 50 States,-,244,the Presbyterian Ivy League,Princeton,Singular,No
3,Discrete Facts,The 50 States,-,245,the longest river in New England,Connecticut (406 miles),Singular,No
3,Discrete Facts,The 50 States,-,246,"the State named for the Mohegaan ""beside the long/tidal river""",CT,Singular,No
3,Vocab Refreshers,The 50 States,-,247,the 1st White Man to chart the CT River,"Adriaen Block, Dutch, 1614",Singular,Yes
3,Vocab Refreshers,The 50 States,-,248,the only poet to receive 4 Pulitzer Prizes,Robert Frost,Singular,Yes
3,Discrete Facts,The 50 States,-,249,the celeb who bought a mansion in Watch Hill RI in 2017,T Swift,Singular,Yes
3,Vocab Refreshers,The 50 States,-,250,the term for the rear compartment of a lobster trap,the bedroom,Singular,No
3,Vocab Refreshers,The 50 States,-,251,the 2001 Maine-set film named after a lobster trap,In the Bedroom,Singular,No
3,Vocab Refreshers,The 50 States,-,252,the name of the Andre Dubus short story that the 2001 film In the Bedroom is based on,Killings,Singular,No
3,Vocab Refreshers,The 50 States,-,253,"the fictional town that Camden, ME stood in for in a 1957 film",Peyton Place,Singular,No
3,Vocab Refreshers,The 50 States,-,254,the current Governor of Alabama,Kay Ivey,Singular,Yes
3,Vocab Refreshers,The 50 States,-,255,the current Governor of Alaska,Mike Dunleavy GOP,Singular,Yes
3,Vocab Refreshers,The 50 States,-,256,the current Governor of Arizone,Katie Hobbs D,Singular,Yes
3,Vocab Refreshers,The 50 States,-,257,the current Governor of Arkansas,Sarah Huckabee Sanders,Singular,Yes
3,Vocab Refreshers,The 50 States,-,258,the current Governor of Connecticut,Ned Lamont D,Singular,Yes
3,Vocab Refreshers,The 50 States,-,259,the current Governor of Delaware,Matt Meyer D,Singular,Yes
3,Vocab Refreshers,The 50 States,-,260,the current Governor of Florida,Ron DeSantis,Singular,Yes
